Frame,EAR,Pitch,Yaw,Status
258,0.184,-53248.75,11073.44,DISTRACTED
259,0.17,-53247.76,11367.23,DISTRACTED
260,0.191,-61277.25,2446.51,DISTRACTED
261,0.197,-60999.46,2783.85,DISTRACTED
262,0.2,-52327.89,11553.11,DISTRACTED
263,0.242,-52051.51,11496.95,DISTRACTED
264,0.231,-52390.13,11300.11,DISTRACTED
265,0.248,-51947.54,10976.34,DISTRACTED
266,0.236,-52004.31,10832.74,DISTRACTED
267,0.229,-51884.62,10776.87,DISTRACTED
268,0.225,-52417.0,10797.53,DISTRACTED
269,0.216,-52473.39,10938.37,DISTRACTED
270,0.212,-52332.12,10749.43,DISTRACTED
271,0.212,-52109.37,10155.73,DISTRACTED
272,0.222,-59965.03,1299.37,DISTRACTED
273,0.221,-59989.45,1167.04,DISTRACTED
274,0.204,-60269.21,1811.19,DISTRACTED
275,0.207,-60391.37,2130.83,DISTRACTED
276,0.205,-60103.42,2024.81,DISTRACTED
277,0.204,-59777.78,1772.95,DISTRACTED
278,0.208,-51485.27,10284.67,DISTRACTED
279,0.22,-51566.43,10511.63,DISTRACTED
280,0.221,-51797.04,10456.68,DISTRACTED
281,0.209,-51823.18,10097.87,DISTRACTED
282,0.223,-51368.63,9645.0,DISTRACTED
283,0.216,-51587.99,9957.74,DISTRACTED
284,0.219,-51330.09,9526.88,DISTRACTED
285,0.203,-51432.36,9418.75,DISTRACTED
286,0.193,-51428.2,9237.47,DISTRACTED
287,0.188,-51284.55,9285.64,DISTRACTED
288,0.192,-51560.14,9297.91,DISTRACTED
289,0.188,-51537.29,9125.87,DISTRACTED
290,0.184,-51470.97,9130.32,DISTRACTED
291,0.187,-51540.66,9120.11,DISTRACTED
292,0.181,-51523.77,9166.39,DISTRACTED
293,0.187,-51609.56,9288.04,DISTRACTED
294,0.181,-51599.65,8999.49,DISTRACTED
295,0.187,-52140.35,9470.62,DISTRACTED
296,0.161,-52712.42,9592.05,DISTRACTED
297,0.181,-53159.5,9755.76,DISTRACTED
298,0.164,-53905.11,9787.58,DISTRACTED
299,0.239,-53479.61,10602.24,DISTRACTED
300,0.264,-63304.98,1870.97,DISTRACTED
301,0.282,-55218.15,7109.8,DISTRACTED
302,0.314,-55858.34,5488.38,DISTRACTED
303,0.31,-57095.96,3748.9,DISTRACTED
304,0.289,-57698.27,4984.08,DISTRACTED
305,0.306,-58479.65,3925.38,DISTRACTED
306,0.285,-58406.26,4379.4,DISTRACTED
307,0.283,-58687.76,4700.87,DISTRACTED
308,0.277,-59041.18,4492.75,DISTRACTED
309,0.271,-59102.01,4577.89,DISTRACTED
310,0.266,-59145.18,4549.88,DISTRACTED
311,0.274,-58702.62,5516.96,DISTRACTED
312,0.267,-58978.97,6013.17,DISTRACTED
313,0.253,-59452.8,5060.16,DISTRACTED
314,0.259,-59869.23,4244.42,DISTRACTED
315,0.251,-60144.58,4291.55,DISTRACTED
316,0.241,-60455.08,4472.1,DISTRACTED
317,0.246,-60712.29,4239.67,DISTRACTED
318,0.203,-61311.2,3144.18,DISTRACTED
319,0.152,-61345.84,3786.16,DISTRACTED
320,0.174,-61064.59,3772.6,DISTRACTED
321,0.193,-59967.33,5845.65,DISTRACTED
322,0.199,-60361.98,3550.17,DISTRACTED
323,0.203,-59045.47,7189.17,DISTRACTED
324,0.206,-59024.41,7524.52,DISTRACTED
325,0.216,-58835.52,7580.68,DISTRACTED
326,0.243,-57816.71,9713.26,DISTRACTED
327,0.244,-58352.36,6441.55,DISTRACTED
328,0.264,-57683.72,7331.87,DISTRACTED
329,0.249,-58264.59,6033.02,DISTRACTED
330,0.228,-59331.16,4629.73,DISTRACTED
331,0.186,-59624.61,4822.87,DISTRACTED
332,0.199,-58641.07,7338.98,DISTRACTED
333,0.213,-58571.23,8284.29,DISTRACTED
334,0.209,-58930.6,7780.97,DISTRACTED
335,0.14,-58778.83,7427.03,DISTRACTED
336,0.023,-58771.3,6870.6,DISTRACTED
337,0.2,-58644.33,7323.02,DISTRACTED
338,0.252,-59502.72,5259.43,DISTRACTED
339,0.263,-60008.15,3728.88,DISTRACTED
340,0.265,-60110.09,2859.57,DISTRACTED
341,0.277,-60192.06,2460.96,DISTRACTED
342,0.269,-60136.84,2267.21,DISTRACTED
343,0.271,-59888.82,3207.21,DISTRACTED
344,0.272,-59750.63,3767.13,DISTRACTED
345,0.279,-59286.08,3612.06,DISTRACTED
346,0.307,-58442.41,5615.25,DISTRACTED
347,0.299,-57401.56,6797.94,DISTRACTED
348,0.316,-56986.59,6754.87,DISTRACTED
349,0.322,-56781.15,6375.15,DISTRACTED
350,0.318,-57286.88,5291.83,DISTRACTED
351,0.149,-57725.22,4742.71,DISTRACTED
352,0.181,-62221.51,-1843.24,DISTRACTED
353,0.186,-59958.28,10506.7,DISTRACTED
354,0.181,-54386.39,6827.46,DISTRACTED
355,0.171,-51920.13,8364.49,DISTRACTED
356,0.149,-49229.74,8027.44,DISTRACTED
357,0.143,-48543.87,5711.97,DISTRACTED
358,0.147,-48927.53,6523.48,DISTRACTED
359,0.267,-51101.33,6981.02,DISTRACTED
360,0.291,-50410.89,7356.36,DISTRACTED
361,0.283,-50589.19,7134.32,DISTRACTED
362,0.282,-50448.39,7761.78,DISTRACTED
363,0.278,-51331.2,7252.99,DISTRACTED
364,0.286,-52161.1,6830.62,DISTRACTED
365,0.292,-52280.77,6077.27,DISTRACTED
366,0.31,-52368.46,5074.96,DISTRACTED
367,0.307,-34152.25,-101.31,DISTRACTED
368,0.13,-54228.23,7275.58,DISTRACTED
369,0.151,-54588.27,7797.27,DISTRACTED
370,0.292,-55713.39,7279.84,DISTRACTED
371,0.286,-56333.26,6835.73,DISTRACTED
372,0.271,-57098.98,5819.01,DISTRACTED
373,0.045,-57462.29,5077.44,DISTRACTED
374,0.11,-58245.55,6267.28,DISTRACTED
375,0.244,-58439.23,7512.24,DISTRACTED
376,0.257,-58686.71,6776.21,DISTRACTED
377,0.255,-58994.62,6456.54,DISTRACTED
378,0.262,-58938.84,5498.22,DISTRACTED
379,0.261,-59742.07,4665.75,DISTRACTED
380,0.257,-60422.99,3168.96,DISTRACTED
381,0.254,-60769.47,3376.08,DISTRACTED
382,0.247,-60939.97,3339.8,DISTRACTED
383,0.228,-61098.04,2933.91,DISTRACTED
384,0.015,-62160.41,3385.38,DISTRACTED
385,0.124,-61446.72,3161.21,DISTRACTED
386,0.2,-61598.76,2000.99,DISTRACTED
387,0.204,-62186.1,444.11,DISTRACTED
388,0.212,-61790.19,1768.08,DISTRACTED
389,0.211,-61112.37,3854.98,DISTRACTED
390,0.215,-61600.7,4919.47,DISTRACTED
391,0.22,-61643.86,4304.03,DISTRACTED
392,0.219,-61616.35,3963.2,DISTRACTED
393,0.211,-61202.62,4821.34,DISTRACTED
394,0.209,-61097.43,5115.26,DISTRACTED
395,0.208,-60985.1,5798.56,DISTRACTED
396,0.216,-60670.55,5868.26,DISTRACTED
397,0.219,-60754.39,5605.59,DISTRACTED
398,0.231,-60654.58,5403.85,DISTRACTED
399,0.24,-60519.21,5150.71,DISTRACTED
400,0.257,-60272.74,5533.09,DISTRACTED
401,0.26,-60358.35,5572.64,DISTRACTED
402,0.163,-61108.3,5117.57,DISTRACTED
403,0.162,-60585.28,5876.81,DISTRACTED
404,0.203,-60406.9,5872.29,DISTRACTED
405,0.227,-60291.67,5762.86,DISTRACTED
406,0.227,-60391.48,5203.02,DISTRACTED
407,0.226,-60481.18,5048.2,DISTRACTED
408,0.224,-60689.67,4312.08,DISTRACTED
409,0.227,-60701.16,4193.34,DISTRACTED
410,0.228,-60521.73,4365.3,DISTRACTED
411,0.231,-60434.61,4586.19,DISTRACTED
412,0.226,-60573.28,4516.13,DISTRACTED
413,0.228,-60495.87,4418.15,DISTRACTED
414,0.228,-60452.75,4334.24,DISTRACTED
415,0.226,-60335.16,4052.8,DISTRACTED
416,0.228,-60262.86,4362.39,DISTRACTED
417,0.228,-60354.86,4287.05,DISTRACTED
418,0.228,-60233.26,4273.86,DISTRACTED
419,0.217,-60292.47,4146.4,DISTRACTED
420,0.227,-60213.42,3865.09,DISTRACTED
421,0.223,-60245.28,4031.07,DISTRACTED
422,0.229,-60149.64,4459.32,DISTRACTED
423,0.228,-60318.57,4187.06,DISTRACTED
424,0.217,-60141.69,4536.36,DISTRACTED
425,0.221,-60226.23,4380.72,DISTRACTED
