frame_number,avg_ear,pitch,yaw,status,face_detected
226,0.1648,18.72,13.1,DROWSY,True
227,0.1558,19.24,15.48,DROWSY,True
228,0.1644,17.9,16.79,DROWSY,True
229,0.1771,20.61,19.99,DROWSY,True
230,0.1496,20.78,20.57,DROWSY,True
231,0.1703,19.87,22.11,DROWSY,True
232,0.1671,16.98,20.04,DROWSY,True
233,0.1621,16.27,19.41,DROWSY,True
234,0.1648,14.41,17.19,DROWSY,True
235,0.1465,15.83,15.03,DROWSY,True
236,0.1403,17.99,14.45,DROWSY,True
237,0.1415,19.83,15.13,DROWSY,True
238,0.1509,18.39,14.94,DROWSY,True
239,0.138,19.03,13.29,DROWSY,True
240,0.1511,20.45,12.38,DROWSY,True
241,0.147,20.02,12.83,DROWSY,True
242,0.1469,21.3,12.52,DROWSY,True
243,0.1413,21.04,11.57,DROWSY,True
244,0.1441,21.14,12.66,DROWSY,True
245,0.1369,21.51,12.12,DROWSY,True
246,0.1449,20.04,13.77,DROWSY,True
247,0.133,16.44,14.94,DROWSY,True
248,0.1721,16.54,16.47,DROWSY,True
249,0.1639,15.53,19.01,DROWSY,True
250,0.1616,13.33,20.57,DROWSY,True
251,0.1283,13.29,18.74,DROWSY,True
252,0.1391,13.92,18.89,DROWSY,True
253,0.1286,14.41,19.17,DROWSY,True
254,0.1186,13.97,18.07,DROWSY,True
255,0.1297,14.63,17.93,DROWSY,True
256,0.1398,15.09,16.89,DROWSY,True
257,0.1742,15.49,16.23,DROWSY,True
258,0.1844,16.69,16.78,DROWSY,True
259,0.1699,16.78,17.56,DROWSY,True
260,0.1914,21.95,15.26,DROWSY,True
261,0.1972,22.89,16.29,DROWSY,True
262,0.2002,19.16,18.13,DROWSY,True
263,0.2417,20.19,17.81,DISTRACTED,True
264,0.2305,19.39,17.18,DISTRACTED,True
265,0.2475,20.69,16.27,DISTRACTED,True
266,0.2365,20.68,15.74,DISTRACTED,True
267,0.2292,21.11,15.54,DISTRACTED,True
268,0.2246,19.56,15.67,DISTRACTED,True
269,0.2163,19.2,16.4,DROWSY,True
270,0.2118,19.67,15.83,DROWSY,True
271,0.2118,20.57,14.16,DROWSY,True
272,0.2218,26.6,11.22,DISTRACTED,True
